Finished dev [unoptimized + debuginfo] target(s) in 3.48s
Running `sudo -E target/debug/examples/burst_capture`
[sudo] password for animesh: 
How many images to capture in a burst: 5
Delay between captures in milliseconds (default=0): 
Init 0, [53, 49, 47, 45, 0, AA, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Init 1, [53, 49, 47, 45, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Init 2, [53, 49, 47, 45, 40, 80, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Init 3, [53, 49, 47, 45, 9, B, 1, 83, 24, 0, 44, F, 8, 20, 20, 1, 5, 12, 0, 0]
Init 4, [53, 49, 47, 45, 26, 6, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 5, [53, 49, 47, 45, 23, 0, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 6, [53, 49, 47, 45, 24, 33, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 7, [53, 49, 47, 45, 20, 0, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 8, [53, 49, 47, 45, 21, 66, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 9, [53, 49, 47, 45, 0, AA, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 10, [53, 49, 47, 45, 1, 1, 1, 6, 60, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 11, [53, 49, 47, 45, 2C, 2, 1, 0, 57, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 12, [53, 49, 47, 45, 2D, 47, 1, 0, 57, 6, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 13, [53, 49, 47, 45, 67, 3, 1, 0, 0, 0, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 14, [53, 49, 47, 45, F, 20, 1, 0, 0, 0, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 15, [53, 49, 47, 45, 2C, 2, 1, 0, 13, 0, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 16, [53, 49, 47, 45, 0, AB, 1, 0, 13, 0, 5, 2F, 6, 20, 20, 1, 5, 12, 0, 0]
Init 17, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Done init
Repeat 0, [53, 49, 47, 45, 2D, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 1, [53, 49, 47, 45, 0, AA, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 2, [53, 49, 47, 45, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 3, [53, 49, 47, 45, 2C, 2, 1, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 4, [53, 49, 47, 45, 2D, C7, 1, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 5, [53, 49, 47, 45, 67, 3, 1, 0, FF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 6, [53, 49, 47, 45, 2C, 2, 1, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 7, [53, 49, 47, 45, 0, AA, 1, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Repeat 8, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Done repeat
